# pack_name: 其他
# version: 1
latitude,longitude,name_tc,name_en,tags_tc,tags_en
47.6079151,-122.3426694,珊瑚飾品,Coral Jewelry,西雅圖,Seattle
47.6073301,-122.3426429,金色貼紙,Gold Stickers,西雅圖,Seattle
47.6067476,-122.3415191,彩繪,Face Painting,西雅圖,Seattle
47.6061271,-122.3425229,主題樂園,Theme Park,西雅圖,Seattle
47.6061626,-122.3408891,咖啡廳,Cafe,西雅圖,Seattle
47.6040345,-122.3395520,廚師帽,Chef Hat,西雅圖,Seattle
47.6038279,-122.3376507,迷你樂器,Mini Instruments,西雅圖,Seattle
47.6034786,-122.3361925,甜點店,Dessert Shop,西雅圖,Seattle
47.6009098,-122.3361935,冰淇淋,Ice Cream,西雅圖,Seattle
